0.000000 0.197770 1.000000 0.012687 0.000001 0.987446 0.378748 0.999991 0.999493 0.999816 
0.008772 0.003714 0.006840 0.014567 0.999981 0.012850 0.010383 0.015909 0.020597 0.024888 
0.016193 0.016201 0.021444 0.186398 0.999733 0.022348 0.013475 0.033229 0.029371 0.025910 
0.025998 0.118142 0.014848 1.000000 0.040695 0.034651 0.034659 1.000000 0.040802 0.026026 
0.026790 0.119207 0.042298 1.000000 0.041645 0.035910 0.046890 0.999999 0.041900 0.027370 
0.026789 0.119205 0.042209 1.000000 0.041644 0.035908 0.035907 0.999999 0.041898 0.027368 
0.050046 0.039131 0.055837 0.077101 0.813733 0.072721 0.079877 0.117252 0.067266 0.060135 
0.051233 0.050358 0.060272 0.150662 0.949033 0.076334 0.082286 0.116940 0.067779 0.062496 
0.064711 0.090239 0.083423 0.095048 0.690437 0.097153 0.091222 0.109601 0.091686 0.077294 
0.068366 0.099969 0.095880 0.097126 0.574496 0.110211 0.118387 0.137461 0.107483 0.070838 
0.081264 0.126815 0.134014 0.119010 0.222129 0.150233 0.119872 0.141747 0.134497 0.055836 
0.088044 0.144077 0.150662 0.111864 0.139388 0.166917 0.228246 0.147347 0.149560 0.111185 
0.089860 0.162590 0.148987 0.105464 0.136714 0.149149 0.185556 0.143991 0.147933 0.047726 
0.081264 0.126815 0.134014 0.119010 0.288513 0.150233 0.119872 0.141747 0.134497 0.055836 
0.086423 0.162442 0.148861 0.105444 0.137751 0.149056 0.185397 0.143975 0.147837 0.047781 
0.117064 0.290523 0.186338 0.160086 0.180411 0.187550 0.127766 0.165941 0.182352 0.137301 
0.117064 0.290523 0.186338 0.160086 0.180411 0.187550 0.127766 0.207228 0.182352 0.137301 
0.136091 0.285401 0.215913 0.182060 0.205698 0.213925 0.178859 0.193705 0.205778 0.132032 
0.138601 0.317044 0.244591 0.190319 0.222073 0.222332 0.329551 0.226395 0.217045 0.206205 
0.146412 0.303067 0.232308 0.198715 0.220453 0.255620 0.221164 0.192768 0.220633 0.239536 
0.146301 0.327190 0.239881 0.199018 0.223474 0.233990 0.324850 0.224396 0.226017 0.215684 
0.146191 0.144654 0.241059 0.198666 0.223343 0.234073 0.324803 0.220397 0.225916 0.215355 
0.168511 0.212960 0.299927 0.270239 0.253608 0.260014 0.328981 0.260079 0.243066 0.225512 
0.144639 0.320389 0.235980 0.196258 0.220581 0.230725 0.301091 0.219401 0.222723 0.203483 
0.146191 0.327149 0.241059 0.198666 0.223343 0.234073 0.324803 0.220397 0.225916 0.215355 
0.155021 0.330496 0.146108 0.226982 0.233898 0.246625 0.328626 0.239649 0.234049 0.241804 
0.154120 0.329783 0.151081 0.224189 0.232545 0.245349 0.146669 0.238879 0.233154 0.242027 
0.201207 0.313020 0.386163 0.293310 0.297943 0.298015 0.335102 0.318209 0.268188 0.240391 
0.213252 0.338592 0.331849 0.278976 0.311571 0.315954 0.416436 0.296452 0.310766 0.308287 
0.213553 0.397508 0.332378 0.279708 0.315969 0.316448 0.401439 0.297126 0.311115 0.308393 
